Qty,References,Value,Footprint,Manufacturer,MPN,Status,Sheets,Notes,Datasheet
1,R46,3.24kR 0.1%,Resistor_SMD:R_0402_1005Metric,,,MPN GEREKLİ,/USER INTERFACE/,,
1,R5,4.7kΩ,Resistor_SMD:R_0402_1005Metric,,,MPN GEREKLİ,/USB_PD_CONTROLLER/,,
1,R6,4.7 k,Resistor_SMD:R_0402_1005Metric,,,MPN GEREKLİ,/USB_PD_CONTROLLER/,,
2,"R7, R25",4.7k,Resistor_SMD:R_0402_1005Metric,,,MPN GEREKLİ,"/MCU/, /USB_PD_CONTROLLER/",,
1,R8,12k,Resistor_SMD:R_0402_1005Metric,,,MPN GEREKLİ,/USB_PD_CONTROLLER/,,
1,R9,20k,Resistor_SMD:R_0402_1005Metric,,,MPN GEREKLİ,/USB_PD_CONTROLLER/,,
1,SW1,BOOT / PTS810,Button_Switch_SMD:SW_SPST_PTS810,C&K / Littelfuse,PTS810 SJS 250 SMTR LFS,SEÇİLDİ,/MCU/,BOOT butonu; 4.2×3.2 mm SMD; Özdisan stoklu,
1,SW2,RESET / PTS810,Button_Switch_SMD:SW_SPST_PTS810,C&K / Littelfuse,PTS810 SJS 250 SMTR LFS,SEÇİLDİ,/MCU/,RESET butonu; 4.2×3.2 mm SMD; Özdisan stoklu,
1,SW3,L-KLS4-EC12-012424-W,L-KLS4-EC12-012424-W:L-KLS4-EC12-012424-W,KLS Electronic,L-KLS4-EC12-012424-W,SEÇİLDİ,/USER INTERFACE/,Encoder,
1,TH1,TSM0B103F3381RZ / 10k NTC,Resistor_SMD:R_0402_1005Metric,Thinking Electronic,TSM0B103F3381RZ,SEÇİLDİ,/USB_PD_CONTROLLER/,"10 kΩ, B25/50=3380 K, 0402; Özdisan stoklu",
10,"TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9, TP10",TestPoint,TestPoint:TestPoint_Pad_D1.0mm,,,PCB PAD,"/MCU/, /USB_PD_CONTROLLER/",1.0 mm SMD test pad; satın alınan parça değildir,
1,U1,AP33772SDKZ-13-FA02,Package_DFN_QFN:Texas_RTW_WQFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.7mm,Diodes Incorporated,AP33772SDKZ-13-FA02,SEÇİLDİ,/USB_PD_CONTROLLER/,Kesin parça; gate sürüşü Q3/Q4 ile doğrulanmalı,https://www.diodes.com/datasheet/download/AP33772S.pdf
1,U2,ESP32-C6-WROOM-1,PCM_Espressif:ESP32-C6-WROOM-1,Espressif,ESP32-C6-WROOM-1,SEÇİLDİ,/MCU/,Modül varyantı/flash kapasitesi satın almadan önce sabitlenmeli,https://www.espressif.com/sites/default/files/documentation/esp32-c6-wroom-1_wroom-1u_datasheet_en.pdf
1,U3,INA228,Package_SO:TSSOP-10_3x3mm_P0.5mm,Texas Instruments,INA228,SEÇİLDİ,/POWER SENSING/,Sipariş suffix'i ve sıcaklık sınıfı seçilmeli,https://www.ti.com/lit/ds/symlink/ina228.pdf
1,U4,RV-3028-C7,Package_SON:MicroCrystal_C7_SON-8_1.5x3.2mm_P0.9mm,Micro Crystal,RV-3028-C7,SEÇİLDİ,/MCU/,Trickle charge kapalı kullanılacak,https://www.microcrystal.com/fileadmin/Media/Products/RTC/Datasheet/RV-3028-C7.pdf
1,U5,AOZ1284PI,Package_SO:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.71x3.7mm,Alpha & Omega Semiconductor,AOZ1284PI,SEÇİLDİ,/POWER GENERATION/,Özdisan stoklu,https://www.aosmd.com/res/datasheets/AOZ1284PI.pdf
1,U6,TL431BIDBZR,Package_TO_SOT_SMD:SOT-23,Texas Instruments,TL431BIDBZR,SEÇİLDİ,/POWER GENERATION/,TI TL431 DBZ: K1 REF2 A3. REF tied K. No added capacitive load.; Kesin,
1,U7,TPS61023DRLR,Package_TO_SOT_SMD:SOT-563,Texas Instruments,TPS61023DRLR,SEÇİLDİ,/USER INTERFACE/,,https://www.ti.com/lit/ds/symlink/tps61023.pdf
1,U8,CAT4104V-GT3,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,onsemi,CAT4104V-GT3,SEÇİLDİ,/USER INTERFACE/,,https://www.onsemi.com/download/data-sheet/pdf/cat4104-d.pdf
1,U9,TPD4E05U06QDQARQ1,USB_ESD:antmicro_tpd4e05u06qdqarq1,Texas Instruments,TPD4E05U06QDQARQ1,SEÇİLDİ,/USB_C_INPUT/,,https://www.ti.com/lit/ds/symlink/tpd4e05u06-q1.pdf
